KOTA,KATEGORI USAHA,TAHUN,JENIS KELAMIN,UMUR,PENDIDIKAN TERAKHIR,STATUS,JENIS LAPANGAN USAHA,KBLI,SERTIFIKASI,KLASIFIKASI USAHA,WILAYAH PEMASARAN UKM
BONDOWOSO,PRODUKSI KONVEKSI,2008,PEREMPUAN,40,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1411.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI TANAMAN HIAS,2020,PEREMPUAN,39,TAMAT SLTA,IUMK,"PERTANIAN, KEHUTANAN & PERIKANAN",130.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI MAKANAN,2017,PEREMPUAN,33,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI MAKANAN,2019,PEREMPUAN,51,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI MAKANAN,2007,PEREMPUAN,33,TAMAT SD,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BONDOWOSO,PRODUKSI MAKANAN,2011,PEREMPUAN,0,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BONDOWOSO,PRODUKSI PAKAIAN,2010,PEREMPUAN,0,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1411.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI JASA,2021,PEREMPUAN,42,S1/ LEBIH,IUMK,AKTIVITAS JASA LAINNYA,9611.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI JASA,2010,PEREMPUAN,39,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),JASA PERUSAHAAN,7721.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BONDOWOSO,PRODUKSI PAKAIAN,2019,PEREMPUAN,27,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4771.0,,MENENGAH 2: OMSET SATU TAHUN ANTARA 25 - 50 M,ANTAR PROVINSI
BONDOWOSO,PRODUKSI JASA,2018,PEREMPUAN,31,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),JASA PERUSAHAAN,7721.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI,2017,PEREMPUAN,35,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),AKTIVITAS JASA LAINNYA,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI ONLINE SHOP,2018,PEREMPUAN,32,TAMAT SD,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4791.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI OLAHAN,2006,PEREMPUAN,39,TAMAT SLTP,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PENJUALAN,2019,PEREMPUAN,31,S1/ LEBIH,IUMK,PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4778.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI HIASAN,2020,PEREMPUAN,28,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,3211.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI JASA PERCETAKAN,2009,PEREMPUAN,48,S1/ LEBIH,UD,INDUSTRI PENGOLAHAN,1811.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PEDAGANG,2014,PEREMPUAN,26,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4771.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BONDOWOSO,PRODUKSI BIBIT,2017,PEREMPUAN,32,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),"PERTANIAN, KEHUTANAN & PERIKANAN",119.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
BONDOWOSO,PRODUKSI BUDIDAYA,2018,PEREMPUAN,50,TAMAT SLTA,IUMK,"PERTANIAN, KEHUTANAN & PERIKANAN",,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
BONDOWOSO,PRODUKSI OENJUALAN,2017,PEREMPUAN,19,TAMAT SLTA,YAYASAN,PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4719.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"ANTAR KABUPATEN, ANTAR PROVINSI"
SITUBONDO,KUE KERING ALMOND KRISPY,2010,PEREMPUAN,44,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1071.0,"HALAL, NUTRITION FACT/ UJI PRODUK",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
SITUBONDO,MEMBUAT STICK SUKUN & RENGGINANG,2016,PEREMPUAN,40,TAMAT D3,UD,INDUSTRI PENGOLAHAN,1031.0,"MERK, HALAL, NUTRITION FACT/ UJI PRODUK",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
SITUBONDO,FASHION,2019,PEREMPUAN,23,TAMAT SD,PERSERO,INDUSTRI PENGOLAHAN,1313.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
SITUBONDO,KERAJINAN,2014,PEREMPUAN,39,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,3290.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PROBOLINGGO,BAJU BORDIR,1991,PEREMPUAN,56,TAMAT SLTP,CV,INDUSTRI PENGOLAHAN,1430.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LUAR NEGERI (EKSPOR)
PROBOLINGGO,FURNITURE REPRO ANTIQUE,1997,LAKI-LAKI,47,TAMAT SLTA,CV,INDUSTRI PENGOLAHAN,3100.0,,KECIL 1: OMSET SATU TAHUN ANTARA 300 - 1 MILYAR,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PROBOLINGGO,PEMBUATAN AKSESORIS,2020,PEREMPUAN,38,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4778.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PROBOLINGGO,"ROTI, KUE KERING, KUE BASAH",2015,PEREMPUAN,47,TAMAT D3,IUMK,INDUSTRI PENGOLAHAN,1071.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
PROBOLINGGO,KUE KERING,2016,PEREMPUAN,50,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1071.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PROBOLINGGO,KONVEKSI MENJAHIT,2001,LAKI-LAKI,53,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1412.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PROBOLINGGO,MINUMAN HERBAL,2013,LAKI-LAKI,63,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PROBOLINGGO,"MAKANAN RINGAN( LELE KRISPY,ABON LELE,KERUPUK LELE,RENGGINANG LELE)",2019,PEREMPUAN,39,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1021.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PROBOLINGGO,"PRODUKSI SABUN CUCI PIRING CAIR, HAND SOAP, SABUN PEL",2018,LAKI-LAKI,37,S1/ LEBIH,CV,INDUSTRI PENGOLAHAN,2023.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PASURUAN,PRODUK KOPI /75.000.000 PERBULAN,2015,PEREMPUAN,48,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1076.0,HALAL,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,ANTAR PROVINSI
PASURUAN,SIRUP BONAGUNG,2019,PEREMPUAN,38,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1062.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR PROVINSI
PASURUAN,KERUPUK KULIT IKAN KAKAP,2018,PEREMPUAN,37,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,"HALAL, NUTRITION FACT/ UJI PRODUK",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PASURUAN,KOPI BUBUK,2018,LAKI-LAKI,30,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),"PERTANIAN, KEHUTANAN & PERIKANAN",,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,BATIK ECOPRINT,2019,PEREMPUAN,55,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1313.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
PASURUAN,KERIPIK PARE,2010,LAKI-LAKI,43,TAMAT SLTA,UD,INDUSTRI PENGOLAHAN,1031.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MINUMAN HERBAL,2017,LAKI-LAKI,30,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PASURUAN,"TELOR ASIN , CATERING",2012,PEREMPUAN,40,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1079.0,"MERK, NUTRITION FACT/ UJI PRODUK",MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR PROVINSI"
PASURUAN,AGEN AIR OKSIGEN,2018,PEREMPUAN,32,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),"PENGADAAN AIR, PENGELOLAAN SAMPAH DAN DAUR ULANG",3520.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,"RENGGINAN, RAMBAK SAPI",2019,LAKI-LAKI,45,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PASURUAN,JAMU DALAM KEMASAN TEH CELUP DAN KOPI BUBUK,2020,PEREMPUAN,24,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR PROVINSI
PASURUAN,MEMBUAT POUCH DAN TAS,2018,PEREMPUAN,41,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1512.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PASURUAN,PRODUKSI RENGGINAN,2019,LAKI-LAKI,45,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PASURUAN,PRODUKSI METE CRISPY,2008,PEREMPUAN,52,TAMAT D3,UD,INDUSTRI PENGOLAHAN,1079.0,MERK,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
PASURUAN,"PEMBUATAT ANEKA ROTI, SNEKA KERIPIK, ANEKA MINUMAN",2016,LAKI-LAKI,48,S1/ LEBIH,CV,INDUSTRI PENGOLAHAN,1071.0,"MERK, MD/ BPOM",ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,KOPI BUBUK,2018,LAKI-LAKI,30,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,PERKEBUNAN MANGGA,1989,LAKI-LAKI,47,S1/ LEBIH,YAYASAN,"PERTANIAN, KEHUTANAN & PERIKANAN",122.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT NUGGET TEMPE,2020,LAKI-LAKI,36,S1/ LEBIH,YAYASAN,INDUSTRI PENGOLAHAN,1031.0,HALAL,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,BUDI DAYA TELUR PUYUH,2019,LAKI-LAKI,41,TAMAT SLTP,PERSEORANGAN (BELUM ADA LEGALITAS),"PERTANIAN, KEHUTANAN & PERIKANAN",146.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,ROTI,2020,LAKI-LAKI,42,S1/ LEBIH,YAYASAN,INDUSTRI PENGOLAHAN,1071.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MUKENAH BORDIR,2004,PEREMPUAN,48,TAMAT SLTP,IUMK,INDUSTRI PENGOLAHAN,1430.0,MERK,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI, LUAR NEGERI (EKSPOR)"
PASURUAN,SEPATU SULAM DAN BORDIR,2017,PEREMPUAN,25,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1520.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PASURUAN,MEMBUAT MIE DAN KULIT PANGSIT,2018,LAKI-LAKI,30,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1074.0,NUTRITION FACT/ UJI PRODUK,"KECIL 2: OMSET SATU TAHUN ANTARA 1 - 2,5 MILYAR",ANTAR KABUPATEN
PASURUAN,USAHA KULINER,2020,PEREMPUAN,33,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),PENYEDIAAN AKOMODASI DAN MAKAN MINUM,5610.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,FUDGY BROWNIES,2020,PEREMPUAN,24,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1071.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PASURUAN,INTERIOR FURNITURE,2020,PEREMPUAN,40,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4759.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT BROWNIS,2020,PEREMPUAN,33,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1071.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT SPRING ROLL BANANA,2019,PEREMPUAN,25,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),PENYEDIAAN AKOMODASI DAN MAKAN MINUM,5610.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT SEMPOL,2019,PEREMPUAN,32,TAMAT D3,IUMK,PENYEDIAAN AKOMODASI DAN MAKAN MINUM,5610.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MIE PEDAS,2019,PEREMPUAN,22,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1074.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,HERBAL,2019,PEREMPUAN,64,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,PRODUKSI MINUMAN SERBUK INSTAN,2019,PEREMPUAN,32,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PASURUAN,ONLINE SHOP SKINCARE,2019,PEREMPUAN,26,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4791.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUKA TOKO KEBUTUHAN POKOK SEHARI-HARI SEMBAKO,2002,PEREMPUAN,40,S1/ LEBIH,IUMK,PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4631.0,HALAL,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR KABUPATEN
PASURUAN,MEMBUAT RAJUT KONEKTOR HIJAB,2020,PEREMPUAN,50,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1391.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT KOPI INSTAN DENGAN CAMPURAN REMPAH,2020,PEREMPUAN,36,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,KUE,2018,PEREMPUAN,30,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1076.0,NUTRITION FACT/ UJI PRODUK,BESAR: OMSET SATU TAHUN > 50 MILYAR,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PASURUAN,PERACANGAN,2008,PEREMPUAN,37,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),AKTIVITAS JASA LAINNYA,,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,TELUR ASIN,2012,PEREMPUAN,52,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT TEMPE,2019,PEREMPUAN,32,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,KERIPIK PISANG,2017,PEREMPUAN,42,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,WARUNG NASI,2020,PEREMPUAN,55,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),PENYEDIAAN AKOMODASI DAN MAKAN MINUM,5610.0,,MIKRO: OMSET SATU TAHUN ANTARA 150 - 300 JUTA,LOKAL KABUPATEN
PASURUAN,TELUR ASIN,2019,PEREMPUAN,41,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,NUTRITION FACT/ UJI PRODUK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,PENGADAAN SERAGAM SEKOLAH,2017,PEREMPUAN,43,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,3290.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,BUSANA ONLINE,2019,PEREMPUAN,47,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4791.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,TOKO MAINAN DAN KEBUTUHAN RUMAH TANGGA,2015,PEREMPUAN,40,S1/ LEBIH,IUMK,PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4649.0,HALAL,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,"PIA, ROTI DAN BAKERY",2014,PEREMPUAN,42,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,KOPI BUBUK,2020,PEREMPUAN,32,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT BUBUK KOPI,2020,PEREMPUAN,22,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,WARUNG MAKANAN DAN MINUMAN,2021,PEREMPUAN,56,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),PENYEDIAAN AKOMODASI DAN MAKAN MINUM,5610.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,"ADONAN PENTOL,OLAHAN IKAN,GORENGAN.",2019,PEREMPUAN,35,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1061.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,KOLAM LELE,2020,PEREMPUAN,43,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),"PERTANIAN, KEHUTANAN & PERIKANAN",322.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,BENGKEL,2000,PEREMPUAN,48,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),PERDAGANGAN BESAR & ECERAN; REPARASI MOBIL & MOTOR,4520.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN"
PASURUAN,SNACK MAKARONI,2019,PEREMPUAN,34,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1074.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI"
PASURUAN,MEMBUAT KEMBANG GULA/ GULO KACANG,2010,PEREMPUAN,26,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1073.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,BROWNIS PANGGANG,2020,PEREMPUAN,34,S1/ LEBIH,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1079.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT MIE,2020,PEREMPUAN,33,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),INDUSTRI PENGOLAHAN,1074.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,JASA PANGGILAN PERAWATAN WAJAH,2020,PEREMPUAN,25,TAMAT SLTA,PERSEORANGAN (BELUM ADA LEGALITAS),AKTIVITAS JASA LAINNYA,9611.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,OLAHAN IKAN,2018,PEREMPUAN,49,TAMAT SLTP,IUMK,INDUSTRI PENGOLAHAN,1021.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,ANTAR PROVINSI
PASURUAN,MEMBUAT OLAHAN MINUMAN,2019,PEREMPUAN,47,TAMAT SLTA,IUMK,INDUSTRI PENGOLAHAN,1076.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,MEMBUAT KERIPIK PISANG,2018,PEREMPUAN,41,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,1079.0,MERK,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,LOKAL KABUPATEN
PASURUAN,PRODUSEN HIASAN DINDING,2018,PEREMPUAN,27,S1/ LEBIH,IUMK,INDUSTRI PENGOLAHAN,3100.0,,ULTRA MIKRO: OMSET SATU TAHUN < 150 JUTA,"LOKAL KABUPATEN, ANTAR KABUPATEN, ANTAR PROVINSI, LUAR NEGERI (EKSPOR)"
